Model,Tumor Type,Treatment,Volume (mm3),body weight (g),Days Post T0,% TVol Difference,% BW Difference
X-007,GC,CLR457,334.2,20.9,23.0,47.8,-5.0
X-007,GC,CLR457,372.3,19.0,27.0,64.7,-13.6
X-007,GC,CLR457,344.4,19.3,30.0,52.3,-12.3
X-007,GC,CLR457,366.7,18.4,34.0,62.2,-16.4
X-007,GC,CLR457,457.1,18.3,37.0,102.2,-16.8
X-007,GC,HDM201,281.3,22.2,0.0,0.0,0.0
X-007,GC,HDM201,780.1,23.1,4.0,177.3,4.1
X-007,GC,HDM201,908.4,21.9,7.0,222.9,-1.4
X-007,GC,HDM201,1211.7,22.4,11.0,330.8,0.9
X-007,GC,"figitumumab""",237.1,20.6,0.0,0.0,0.0
X-007,GC,"figitumumab""",384.6,20.9,3.0,62.2,1.5
X-007,GC,"figitumumab""",529.4,21.1,6.0,123.3,2.4
X-007,GC,"figitumumab""",1253.6,21.9,10.0,428.7,6.3
X-007,GC,HSP990,256.8,22.0,0.0,0.0,0.0
X-007,GC,HSP990,179.0,16.0,5.0,-30.3,-27.3
X-007,GC,HSP990,174.2,18.6,8.0,-32.2,-15.5
X-007,GC,HSP990,213.6,22.4,12.0,-16.8,1.8
X-007,GC,HSP990,180.1,22.5,15.0,-29.9,2.3
X-007,GC,HSP990,221.5,23.0,19.0,-13.7,4.5
X-007,GC,HSP990,249.6,23.5,22.0,-2.8,6.8
X-007,GC,HSP990,344.3,23.3,26.0,34.1,5.9
X-007,GC,HSP990,581.1,23.0,29.0,126.3,4.5
X-007,GC,INC280,300.4,22.9,0.0,0.0,0.0
X-007,GC,INC280,809.7,22.2,3.0,169.5,-3.1
X-007,GC,INC280,731.4,22.4,6.0,143.5,-2.2
X-007,GC,INC280,968.6,22.1,9.0,222.4,-3.5
X-007,GC,INC280,1726.2,23.0,13.0,474.6,0.4
X-007,GC,INC280 + trastuzumab,291.9,23.8,0.0,0.0,0.0
X-007,GC,INC280 + trastuzumab,751.0,25.1,3.0,157.3,5.5
X-007,GC,INC280 + trastuzumab,945.4,23.5,6.0,223.9,-1.3
X-007,GC,INC280 + trastuzumab,800.0,23.9,9.0,174.1,0.4
X-007,GC,INC280 + trastuzumab,748.8,22.5,13.0,156.5,-5.5
X-007,GC,INC280 + trastuzumab,749.6,22.0,16.0,156.8,-7.6
X-007,GC,INC280 + trastuzumab,805.6,22.3,20.0,176.0,-6.3
X-007,GC,INC280 + trastuzumab,1024.1,23.3,23.0,250.8,-2.1
X-007,GC,INC280 + trastuzumab,1047.1,22.3,27.0,258.7,-6.3
X-007,GC,INC280 + trastuzumab,1662.5,22.9,30.0,469.5,-3.8
X-007,GC,LEE011,274.5,22.2,0.0,0.0,0.0
X-007,GC,LEE011,876.5,22.7,4.0,219.3,2.3
X-007,GC,LEE011,1091.3,22.8,7.0,297.6,2.7
X-007,GC,LEE011,1386.7,22.7,11.0,405.2,2.3
X-007,GC,LEE011 + everolimus,272.1,19.3,0.0,0.0,0.0
X-007,GC,LEE011 + everolimus,446.0,17.4,3.0,63.9,-9.8
X-007,GC,LEE011 + everolimus,459.5,15.7,6.0,68.9,-18.7
X-007,GC,LEE011 + everolimus,352.2,15.3,10.0,29.4,-20.7
X-007,GC,LEE011 + everolimus,269.1,16.1,13.0,-1.1,-16.6
X-007,GC,LJM716 + trastuzumab,300.9,20.6,0.0,0.0,0.0
X-007,GC,LJM716 + trastuzumab,925.3,21.1,3.0,207.5,2.4
X-007,GC,LJM716 + trastuzumab,963.2,21.5,6.0,220.1,4.4
X-007,GC,LJM716 + trastuzumab,1366.3,22.3,9.0,354.1,8.3
X-007,GC,LJM716 + trastuzumab,1942.6,22.3,13.0,545.6,8.3
X-007,GC,LJM716,238.7,20.6,0.0,0.0,0.0
X-007,GC,LJM716,533.2,20.5,3.0,123.4,-0.5
X-007,GC,LJM716,802.0,21.0,6.0,236.0,1.9
X-007,GC,LJM716,1041.6,20.8,9.0,336.4,1.0
X-007,GC,LJM716,1975.1,22.3,13.0,727.4,8.3
X-007,GC,LLM871,270.2,21.3,0.0,0.0,0.0
X-007,GC,LLM871,684.5,22.0,4.0,153.3,3.3
X-007,GC,LLM871,923.3,21.8,7.0,241.7,2.3
X-007,GC,LLM871,1507.6,22.2,11.0,458.0,4.2
X-007,GC,binimetinib,216.3,19.8,0.0,0.0,0.0
X-007,GC,binimetinib,360.2,19.1,3.0,66.5,-3.5
X-007,GC,binimetinib,324.5,18.4,6.0,50.0,-7.1
X-007,GC,binimetinib,367.0,19.4,9.0,69.7,-2.0
X-007,GC,binimetinib,372.3,19.7,13.0,72.1,-0.5
X-007,GC,binimetinib,379.6,19.4,16.0,75.5,-2.0
X-007,GC,binimetinib,344.7,19.5,23.0,59.4,-1.5
X-007,GC,binimetinib,337.3,20.0,27.0,55.9,1.0
X-007,GC,binimetinib,340.1,20.3,30.0,57.2,2.5
X-007,GC,everolimus,230.4,24.0,0.0,0.0,0.0
X-007,GC,everolimus,353.6,24.4,5.0,53.5,1.7
X-007,GC,everolimus,487.3,25.1,8.0,111.5,4.6
X-007,GC,everolimus,478.0,24.5,12.0,107.5,2.1
X-007,GC,everolimus,547.0,24.9,15.0,137.4,3.7
X-007,GC,everolimus,618.9,25.5,19.0,168.6,6.2
X-007,GC,everolimus,731.8,26.1,22.0,217.6,8.8
X-007,GC,everolimus,675.3,24.7,26.0,193.1,2.9
X-007,GC,everolimus,768.8,25.4,29.0,233.7,5.8
X-007,GC,everolimus,865.4,25.0,33.0,275.6,4.2
X-007,GC,trastuzumab,216.1,26.2,0.0,0.0,0.0
X-007,GC,trastuzumab,248.1,26.3,3.0,14.8,0.4
X-007,GC,trastuzumab,336.7,25.5,6.0,55.8,-2.7
X-007,GC,trastuzumab,516.7,25.6,10.0,139.1,-2.3
X-007,GC,trastuzumab,315.7,23.6,13.0,46.1,-9.9
X-007,GC,trastuzumab,618.2,23.3,17.0,186.1,-11.1
X-007,GC,trastuzumab,721.0,22.4,20.0,233.6,-14.5
X-007,GC,trastuzumab,948.2,21.7,24.0,338.8,-17.2
X-007,GC,trastuzumab,922.2,20.5,27.0,326.7,-21.8
X-007,GC,trastuzumab,966.3,20.3,31.0,347.2,-22.5
X-010,GC,BGJ398,214.5,24.2,0.0,0.0,0.0
X-010,GC,BGJ398,236.4,24.6,4.0,10.2,1.7
X-010,GC,BGJ398,332.0,23.3,11.0,54.8,-3.7
X-010,GC,BGJ398,321.4,24.2,14.0,49.8,0.0
X-010,GC,BGJ398,301.6,22.2,18.0,40.6,-8.3
X-010,GC,BGJ398,311.9,24.1,21.0,45.4,-0.4
X-010,GC,BGJ398,338.8,23.7,25.0,57.9,-2.1
X-010,GC,BGJ398,347.8,24.8,28.0,62.1,2.5
X-010,GC,BGJ398,358.5,24.4,32.0,67.1,0.8
X-010,GC,BGJ398,307.1,24.4,35.0,43.2,0.8
X-010,GC,BGJ398,250.8,25.5,38.0,16.9,5.4
X-010,GC,BGJ398,165.7,25.1,44.0,-22.8,3.7
X-010,GC,BGJ398,144.2,26.2,48.0,-32.8,8.3
X-010,GC,BGJ398,88.1,25.5,52.0,-58.9,5.4
X-010,GC,BGJ398,74.9,25.2,60.0,-65.1,4.1
X-010,GC,BGJ398,95.5,25.3,64.0,-55.5,4.5
X-010,GC,BGJ398,95.2,25.0,69.0,-55.6,3.3
X-010,GC,BGJ398,129.1,25.2,73.0,-39.8,4.1
X-010,GC,BGJ398,99.6,24.7,77.0,-53.6,2.1
X-010,GC,BGJ398,117.3,24.1,81.0,-45.3,-0.4
X-010,GC,BGJ398,97.2,24.5,84.0,-54.7,1.2
X-010,GC,BGJ398,141.5,24.6,88.0,-34.0,1.7
X-010,GC,BGJ398,137.2,25.1,91.0,-36.0,3.7
X-010,GC,BGJ398,173.5,24.9,96.0,-19.1,2.9
X-010,GC,BGJ398,204.2,24.8,102.0,-4.8,2.5
X-010,GC,BGJ398,203.8,24.8,107.0,-5.0,2.5
X-010,GC,BGJ398,196.4,24.8,112.0,-8.4,2.5
X-010,GC,BGJ398,266.8,24.1,117.0,24.4,-0.4
X-010,GC,BGJ398,279.4,25.5,122.0,30.3,5.4
X-010,GC,BGJ398,288.2,22.7,125.0,34.4,-6.2
X-010,GC,BGJ398,348.1,24.2,133.0,62.3,0.0
X-010,GC,BGJ398,500.8,24.1,143.0,133.5,-0.4
X-010,GC,BGJ398,542.3,22.6,147.0,152.8,-6.6
X-010,GC,BGJ398,611.1,23.7,150.0,184.9,-2.1
X-010,GC,BGJ398,668.1,23.8,157.0,211.5,-1.7
X-010,GC,BKM120,247.9,25.6,0.0,0.0,0.0
X-010,GC,BKM120,263.2,26.5,4.0,6.2,3.5
X-010,GC,BKM120,372.3,23.8,11.0,50.2,-7.0
X-010,GC,BKM120,304.0,22.6,14.0,22.6,-11.7
X-010,GC,BKM120,356.8,23.0,18.0,43.9,-10.2
X-010,GC,BKM120,369.5,23.6,21.0,49.1,-7.8
X-010,GC,BKM120,374.7,24.1,25.0,51.1,-5.9
X-010,GC,BKM120,419.1,23.3,28.0,69.1,-9.0
X-010,GC,BKM120,438.1,24.1,32.0,76.7,-5.9
X-010,GC,BKM120,463.5,24.3,35.0,87.0,-5.1
X-010,GC,BKM120,480.6,22.8,38.0,93.9,-10.9
X-010,GC,BKM120,610.2,22.7,44.0,146.1,-11.3
X-010,GC,BKM120,601.8,22.4,48.0,142.8,-12.5
X-010,GC,BKM120,601.0,21.6,52.0,142.4,-15.6
X-010,GC,BKM120,621.6,19.5,55.0,150.7,-23.8
X-010,GC,BKM120,635.0,18.6,60.0,156.2,-27.3
X-010,GC,BKM120,671.7,17.8,64.0,171.0,-30.5
X-010,GC,BKM120,786.7,19.7,69.0,217.3,-23.0
X-010,GC,BKM120,1059.4,20.5,73.0,327.3,-19.9
X-010,GC,BKM120,1466.9,21.0,77.0,491.7,-18.0
X-010,GC,BYL719 + LJM716,297.7,26.9,0.0,0.0,0.0
X-010,GC,BYL719 + LJM716,477.2,24.1,3.0,60.3,-10.4
X-010,GC,BYL719 + LJM716,653.2,22.3,7.0,119.4,-17.1
X-010,GC,BYL719 + LJM716,823.3,20.3,10.0,176.6,-24.5
X-010,GC,BYL719 + LJM716,1214.1,20.7,14.0,307.8,-23.0
X-010,GC,BYL719 + LJM716,1213.2,19.0,16.0,307.5,-29.4
X-010,GC,BYL719 + LJM716,1318.2,19.6,21.0,342.8,-27.1
X-010,GC,BYL719 + HSP990,213.1,25.0,0.0,0.0,0.0
X-010,GC,BYL719 + HSP990,209.3,24.3,3.0,-1.8,-2.8
X-010,GC,BYL719 + HSP990,177.7,24.6,7.0,-16.6,-1.6
X-010,GC,BYL719 + HSP990,190.3,,10.0,-10.7,-1.6
X-010,GC,BYL719 + HSP990,274.3,24.9,14.0,28.7,-0.4
X-010,GC,BYL719 + HSP990,256.6,24.8,16.0,20.4,-0.8
X-010,GC,BYL719 + HSP990,308.1,25.4,21.0,44.6,1.6
X-010,GC,BYL719 + HSP990,338.7,22.8,26.0,58.9,-8.8
X-010,GC,BYL719 + HSP990,212.8,22.3,30.0,-0.1,-10.8
X-010,GC,BYL719 + HSP990,238.4,23.1,34.0,11.9,-7.6
X-010,GC,BYL719 + HSP990,214.0,24.0,37.0,0.4,-4.0
X-010,GC,BYL719 + HSP990,277.0,23.9,41.0,30.0,-4.4
X-010,GC,BYL719 + HSP990,262.8,24.0,44.0,23.3,-4.0
X-010,GC,BYL719 + HSP990,252.1,23.6,48.0,18.3,-5.6
X-010,GC,BYL719 + HSP990,259.9,23.5,52.0,22.0,-6.0
X-010,GC,BYL719 + HSP990,287.0,22.7,58.0,34.7,-9.2
X-010,GC,BYL719 + HSP990,348.4,20.2,63.0,63.5,-19.2
X-010,GC,BYL719 + HSP990,392.3,21.5,66.0,84.1,-14.0
X-010,GC,BYL719 + HSP990,360.2,21.7,69.0,69.0,-13.2
X-010,GC,BYL719 + HSP990,344.3,21.6,72.0,61.6,-13.6
X-010,GC,BYL719 + HSP990,478.5,21.8,77.0,124.5,-12.8
X-010,GC,BYL719 + HSP990,418.3,21.9,80.0,96.3,-12.4
X-010,GC,BYL719 + HSP990,447.1,22.1,84.0,109.8,-11.6
X-010,GC,BYL719 + HSP990,433.2,20.8,87.0,103.3,-16.8
X-010,GC,BYL719 + HSP990,413.7,19.0,91.0,94.1,-24.0
X-010,GC,BYL719,199.5,25.7,0.0,0.0,0.0
X-010,GC,BYL719,221.9,24.2,4.0,11.2,-5.8
X-010,GC,BYL719,227.0,24.1,7.0,13.8,-6.2
X-010,GC,BYL719,250.7,23.7,11.0,25.7,-7.8
X-010,GC,BYL719,301.6,23.0,14.0,51.2,-10.5
X-010,GC,BYL719,378.7,21.9,18.0,89.8,-14.8
X-010,GC,BYL719,396.1,19.7,21.0,98.5,-23.3
X-010,GC,BYL719,410.9,19.1,24.0,106.0,-25.7
X-010,GC,BYL719,526.4,18.7,30.0,163.9,-27.2
X-010,GC,BYL719,727.9,20.0,34.0,264.9,-22.2
X-010,GC,BYL719,881.6,18.3,38.0,341.9,-28.8
X-010,GC,CLR457,228.3,25.2,0.0,0.0,0.0
X-010,GC,CLR457,340.3,23.4,3.0,49.1,-7.1
X-010,GC,CLR457,267.2,22.5,7.0,17.0,-10.7
X-010,GC,CLR457,319.5,21.0,10.0,39.9,-16.7
X-010,GC,CLR457,328.4,21.1,14.0,43.8,-16.3
X-010,GC,CLR457,283.1,21.6,16.0,24.0,-14.3
X-010,GC,CLR457,325.4,21.2,21.0,42.5,-15.9
X-010,GC,CLR457,305.2,18.4,26.0,33.7,-27.0
X-010,GC,CLR457,327.2,17.2,30.0,43.3,-31.7
X-010,GC,HDM201,225.6,23.6,0.0,0.0,0.0
X-010,GC,HDM201,241.7,23.8,3.0,7.1,0.8
X-010,GC,HDM201,234.3,23.0,7.0,3.9,-2.5
X-010,GC,HDM201,329.9,23.3,10.0,46.2,-1.3
X-010,GC,HDM201,338.8,22.7,14.0,50.2,-3.8
X-010,GC,HDM201,439.3,23.8,17.0,94.7,0.8
X-010,GC,HDM201,462.5,24.3,20.0,105.0,3.0
X-010,GC,HDM201,618.2,22.0,26.0,174.0,-6.8
X-010,GC,HDM201,771.6,23.2,30.0,242.0,-1.7
X-010,GC,HDM201,852.9,21.6,34.0,278.1,-8.5
X-010,GC,HDM201,974.3,21.4,37.0,331.9,-9.3
X-010,GC,HDM201,1120.9,21.2,42.0,396.9,-10.2
X-010,GC,"figitumumab""",210.4,24.6,0.0,0.0,0.0
X-010,GC,"figitumumab""",220.6,25.5,3.0,4.8,3.7
X-010,GC,"figitumumab""",194.1,25.3,7.0,-7.7,2.8
X-010,GC,"figitumumab""",248.4,25.3,10.0,18.1,2.8
X-010,GC,"figitumumab""",349.6,26.5,14.0,66.2,7.7
X-010,GC,"figitumumab""",446.3,24.8,17.0,112.1,0.8
X-010,GC,"figitumumab""",452.2,26.0,20.0,114.9,5.7
X-010,GC,"figitumumab""",553.2,25.7,26.0,162.9,4.5
X-010,GC,"figitumumab""",778.1,25.4,30.0,269.8,3.3
X-010,GC,"figitumumab""",973.1,25.6,34.0,362.5,4.1
X-010,GC,HSP990,276.4,24.7,0.0,0.0,0.0
X-010,GC,HSP990,347.4,24.4,3.0,25.7,-1.2
X-010,GC,HSP990,549.4,24.0,7.0,98.8,-2.8
X-010,GC,HSP990,907.7,23.5,10.0,228.4,-4.9
X-010,GC,HSP990,1334.0,22.8,14.0,382.6,-7.7
X-010,GC,INC280,211.9,22.0,0.0,0.0,0.0
X-010,GC,INC280,222.8,20.1,3.0,5.1,-8.6
X-010,GC,INC280,353.3,18.8,7.0,66.7,-14.5
X-010,GC,INC280,298.6,17.2,10.0,40.9,-21.8
X-010,GC,INC280,630.7,17.2,14.0,197.6,-21.8
X-010,GC,INC280,521.5,17.2,16.0,146.1,-21.8
X-010,GC,INC280,864.3,18.2,21.0,307.9,-17.3
X-010,GC,INC280 + trastuzumab,218.6,22.6,0.0,0.0,0.0
X-010,GC,INC280 + trastuzumab,223.0,24.3,4.0,2.0,7.5
X-010,GC,INC280 + trastuzumab,246.4,22.9,7.0,12.7,1.3
X-010,GC,INC280 + trastuzumab,281.8,23.2,11.0,28.9,2.7
X-010,GC,INC280 + trastuzumab,286.7,22.7,13.0,31.2,0.4
X-010,GC,INC280 + trastuzumab,313.0,23.0,18.0,43.2,1.8
X-010,GC,INC280 + trastuzumab,685.8,21.9,23.0,213.7,-3.1
X-010,GC,INC280 + trastuzumab,875.0,21.5,27.0,300.3,-4.9
X-010,GC,INC280 + trastuzumab,1175.6,21.4,31.0,437.8,-5.3
X-010,GC,LEE011,282.2,23.4,0.0,0.0,0.0
X-010,GC,LEE011,298.2,22.1,7.0,5.7,-5.6
X-010,GC,LEE011,309.3,21.4,11.0,9.6,-8.5
X-010,GC,LEE011,285.4,23.9,14.0,1.1,2.1
X-010,GC,LEE011,303.1,23.7,18.0,7.4,1.3
X-010,GC,LEE011,328.0,23.3,21.0,16.2,-0.4
X-010,GC,LEE011,325.8,22.5,24.0,15.5,-3.8
X-010,GC,LEE011,357.1,20.0,30.0,26.5,-14.5
X-010,GC,LEE011,336.8,21.2,34.0,19.3,-9.4
X-010,GC,LEE011,390.0,21.7,38.0,38.2,-7.3
X-010,GC,LEE011,425.5,20.2,41.0,50.8,-13.7
X-010,GC,LEE011,425.9,21.8,46.0,50.9,-6.8
X-010,GC,LEE011,411.7,21.8,50.0,45.9,-6.8
X-010,GC,LEE011,551.0,20.4,55.0,95.3,-12.8
X-010,GC,LEE011,471.0,21.8,59.0,66.9,-6.8
X-010,GC,LEE011,497.4,20.5,63.0,76.3,-12.4
X-010,GC,LEE011,480.3,21.0,67.0,70.2,-10.3
X-010,GC,LEE011,405.2,22.2,70.0,43.6,-5.1
X-010,GC,LEE011,322.8,22.0,74.0,14.4,-6.0
X-010,GC,LEE011,315.2,22.7,77.0,11.7,-3.0
X-010,GC,LEE011,258.7,20.2,82.0,-8.3,-13.7
X-010,GC,LEE011,238.5,21.2,88.0,-15.5,-9.4
X-010,GC,LEE011,250.8,19.9,93.0,-11.1,-15.0
X-010,GC,LEE011,245.2,20.2,98.0,-13.1,-13.7
X-010,GC,LEE011,279.2,18.2,103.0,-1.1,-22.2
X-010,GC,LEE011,380.3,18.2,108.0,34.8,-22.2
X-010,GC,LEE011,478.4,18.8,111.0,69.5,-19.7
X-010,GC,LEE011 + everolimus,213.6,25.0,0.0,0.0,0.0
X-010,GC,LEE011 + everolimus,193.3,25.4,3.0,-9.5,1.6
X-010,GC,LEE011 + everolimus,196.9,25.4,7.0,-7.8,1.6
X-010,GC,LEE011 + everolimus,180.5,23.5,10.0,-15.5,-6.0
X-010,GC,LEE011 + everolimus,157.6,22.8,16.0,-26.2,-8.8
X-010,GC,LEE011 + everolimus,128.9,21.5,21.0,-39.7,-14.0
X-010,GC,LEE011 + everolimus,115.6,20.7,26.0,-45.9,-17.2
X-010,GC,LEE011 + everolimus,152.2,21.1,30.0,-28.7,-15.6
X-010,GC,LEE011 + everolimus,152.9,21.4,34.0,-28.4,-14.4
X-010,GC,LEE011 + everolimus,144.5,22.4,37.0,-32.4,-10.4
X-010,GC,LEE011 + everolimus,132.4,21.4,44.0,-38.0,-14.4
X-010,GC,LEE011 + everolimus,161.0,20.9,48.0,-24.6,-16.4
X-010,GC,LEE011 + everolimus,123.3,21.2,52.0,-42.3,-15.2
X-010,GC,LEE011 + everolimus,138.6,22.0,58.0,-35.1,-12.0
X-010,GC,LEE011 + everolimus,164.8,21.4,63.0,-22.8,-14.4
X-010,GC,LEE011 + everolimus,143.7,21.5,66.0,-32.7,-14.0
X-010,GC,LEE011 + everolimus,168.5,21.3,69.0,-21.1,-14.8
X-010,GC,LEE011 + everolimus,169.0,21.9,72.0,-20.9,-12.4
X-010,GC,LEE011 + everolimus,148.8,21.7,77.0,-30.3,-13.2
X-010,GC,LEE011 + everolimus,171.6,21.8,80.0,-19.7,-12.8
X-010,GC,LEE011 + everolimus,184.8,22.4,84.0,-13.5,-10.4
X-010,GC,LEE011 + everolimus,188.4,20.9,87.0,-11.8,-16.4
X-010,GC,LEE011 + everolimus,144.2,21.7,91.0,-32.5,-13.2
X-010,GC,LEE011 + everolimus,143.8,21.5,95.0,-32.7,-14.0
X-010,GC,LEE011 + everolimus,137.9,22.3,101.0,-35.4,-10.8
X-010,GC,LEE011 + everolimus,169.9,21.5,108.0,-20.5,-14.0
X-010,GC,LEE011 + everolimus,131.9,21.1,112.0,-38.2,-15.6
X-010,GC,LEE011 + everolimus,161.3,17.6,118.0,-24.5,-29.6
X-010,GC,LJM716,286.6,21.9,0.0,0.0,0.0
X-010,GC,LJM716,426.8,20.9,3.0,48.9,-4.6
X-010,GC,LJM716,785.6,19.5,7.0,174.1,-11.0
X-010,GC,LJM716,832.6,17.7,10.0,190.5,-19.2
X-010,GC,LJM716,997.7,19.3,14.0,248.1,-11.9
X-010,GC,LJM716,891.0,19.4,16.0,210.9,-11.4
X-010,GC,LJM716,1171.5,19.5,21.0,308.8,-11.0
X-010,GC,LJM716 + trastuzumab,210.4,21.2,0.0,0.0,0.0
X-010,GC,LJM716 + trastuzumab,283.5,21.7,3.0,34.7,2.4
X-010,GC,LJM716 + trastuzumab,309.6,22.1,7.0,47.1,4.2
X-010,GC,LJM716 + trastuzumab,365.5,20.4,10.0,73.7,-3.8
X-010,GC,LJM716 + trastuzumab,442.3,20.6,14.0,110.2,-2.8
X-010,GC,LJM716 + trastuzumab,365.5,20.6,16.0,73.7,-2.8
X-010,GC,LJM716 + trastuzumab,610.1,21.8,21.0,190.0,2.8
X-010,GC,LJM716 + trastuzumab,600.0,20.8,26.0,185.2,-1.9
X-010,GC,LJM716 + trastuzumab,616.6,19.7,30.0,193.1,-7.1
X-010,GC,LJM716 + trastuzumab,660.2,20.9,34.0,213.8,-1.4
X-010,GC,LJM716 + trastuzumab,716.5,18.6,37.0,240.5,-12.3
X-010,GC,LJM716 + trastuzumab,1271.4,19.5,44.0,504.3,-8.0
X-010,GC,LJM716 + trastuzumab,1727.3,19.9,48.0,721.0,-6.1
X-010,GC,LLM871,223.2,26.7,0.0,0.0,0.0
X-010,GC,LLM871,245.3,27.8,3.0,9.9,4.1
X-010,GC,LLM871,272.0,27.5,7.0,21.9,3.0
X-010,GC,LLM871,267.5,27.4,10.0,19.8,2.6
X-010,GC,LLM871,291.8,27.2,14.0,30.7,1.9
X-010,GC,LLM871,294.7,27.6,17.0,32.0,3.4
X-010,GC,LLM871,178.9,27.4,20.0,-19.8,2.6
X-010,GC,LLM871,39.0,27.4,26.0,-82.5,2.6
X-010,GC,LLM871,0.0,28.4,30.0,-100.0,6.4
X-010,GC,LLM871,0.0,27.6,34.0,-100.0,3.4
X-010,GC,LLM871,0.0,27.8,37.0,-100.0,4.1
X-010,GC,LLM871,0.0,27.5,42.0,-100.0,3.0
X-010,GC,LLM871,0.0,27.8,51.0,-100.0,4.1
X-010,GC,LLM871,0.0,28.4,55.0,-100.0,6.4
X-010,GC,LLM871,0.0,28.5,59.0,-100.0,6.7
X-010,GC,LLM871,22.7,28.5,63.0,-89.8,6.7
X-010,GC,LLM871,59.0,28.8,66.0,-73.6,7.9
X-010,GC,LLM871,130.1,28.0,70.0,-41.7,4.9
X-010,GC,LLM871,164.3,26.8,73.0,-26.4,0.4
X-010,GC,LLM871,123.7,25.4,78.0,-44.6,-4.9
X-010,GC,LLM871,128.1,26.9,84.0,-42.6,0.7
X-010,GC,LLM871,173.1,26.6,89.0,-22.4,-0.4
X-010,GC,LLM871,167.5,26.7,94.0,-25.0,0.0
X-010,GC,LLM871,198.3,27.5,99.0,-11.2,3.0
X-010,GC,LLM871,205.8,26.8,104.0,-7.8,0.4
X-010,GC,LLM871,247.4,28.0,107.0,10.8,4.9
X-010,GC,LLM871,282.8,27.8,115.0,26.7,4.1
X-010,GC,LLM871,238.1,28.4,125.0,6.7,6.4
X-010,GC,LLM871,247.6,28.1,129.0,10.9,5.2
X-010,GC,LLM871,223.8,29.1,132.0,0.3,9.0
X-010,GC,LLM871,301.2,29.4,139.0,34.9,10.1
X-010,GC,LLM871,532.0,28.7,147.0,138.4,7.5
X-010,GC,LLM871,1033.3,30.6,155.0,362.9,14.6
X-010,GC,binimetinib,293.3,23.2,0.0,0.0,0.0
X-010,GC,binimetinib,507.2,21.6,3.0,72.9,-6.9
X-010,GC,binimetinib,594.7,22.7,7.0,102.8,-2.2
X-010,GC,binimetinib,483.8,22.7,10.0,65.0,-2.2
X-010,GC,binimetinib,498.3,20.0,14.0,69.9,-13.8
X-010,GC,binimetinib,531.6,21.5,16.0,81.2,-7.3
X-010,GC,binimetinib,702.4,19.5,21.0,139.5,-15.9
X-010,GC,binimetinib,496.6,18.6,26.0,69.3,-19.8
X-010,GC,binimetinib,588.9,19.9,30.0,100.8,-14.2
